BD,Address,Address2
"BIRCH LAKE PARTNERS, LP","71 SOUTH WACKER DRIVE SUITE 2425, CHICAGO, IL 60606",
COMMERCE SECURITIES CORPORATION,"710 NO. POST OAK RD., SUITE 400, HOUSTON, TX 77024",
ALPACA SECURITIES LLC,"710 OAKFIELD DR, SUITE 210, BRANDON, FL 33511",
ZANBATO SECURITIES LLC,"711 / 715 N. SHORELINE BLVD., MOUNTAIN VIEW, CA 94043",
ARMSTRONG SECURITIES LLC,"711 3RD AVENUE, FLOOR 5, NEW YORK, NY 10017","53 FOREST AVENUE, 3RD FLOOR, OLD GREENWICH, CT 06870"
ALLEN & COMPANY LLC,"711 FIFTH AVENUE, NEW YORK, NY 10022",
"PRINCIPAL FUNDS DISTRIBUTOR, INC.","711 HIGH STREET, DES MOINES, IA 50392",
OPPORTUNE PARTNERS LLC,"711 LOUISIANA STREET, SUITE 3100, HOUSTON, TX 77002",
"COVENTRY SECURITIES, LLC","7111 VALLEY GREEN ROAD, FORT WASHINGTON, PA 19034",
RIVERSTONE CAPITAL SERVICES LLC,"712 5TH AVENUE, NEW YORK, NY 10019",
"JETT CAPITAL ADVISORS, LLC","712 FIFTH AVENUE, 11TH FLOOR, NEW YORK, NY 10019",
"PURESTREAM, LLC","712 FIFTH AVENUE, 21ST FLOOR, NEW YORK, NY 10019",
FOCUSPOINT PRIVATE CAPITAL GROUP,"712 FIFTH AVENUE, 8TH FLOOR, SUITE 008A, NEW YORK, NY 10019",
"CVC FUNDING, LLC","712 FIFTH AVENUE, SUITE 45B2, NEW YORK, NY 10019",
MENKE CAPITAL CORPORATION,"714 IRIS AVENUE, CORONA DEL MAR, CA 92625",
"CAPITAL & ESTATE MANAGEMENT, INC.","7143 MARINER BLVD., SPRING HILL, FL 34609",
"J K R & COMPANY, INC.","7145 WOODLEY AVE, VAN NUYS, CA 91406",
ANUBIS SECURITIES LLC,"717 FIFTH AVENUE, 18TH FLOOR, NEW YORK, NY 10022",
CORSAIR ADVISORS LLC,"717 FIFTH AVENUE, 24TH FLOOR, NEW YORK, NY 10022",
HILLTOP SECURITIES INC.,"717 N. HARWOOD STREET, SUITE 3400, DALLAS, TX 75201","717 HARWOOD STREET, SUITE 3400, DALLAS, TX 75201"
MOMENTUM INDEPENDENT NETWORK INC.,"717 N. HARWOOD STREET, SUITE 3400, DALLAS, TX 75201","717 HARWOOD STREET, SUITE 3400, DALLAS, TX 75201"
SCOTTSDALE CAPITAL ADVISORS CORP,"7170 E. MCDONALD RD. SUITE 6, SCOTTSDALE AZ, AZ 85253","7170 E. MCDONALD RD. SUITE 6, SCOTTSDALE AZ, AZ 85253"
